YEAR,CAP_MAXIMUM,CAP_DOLLARS,CAP_PERCENTAGE,LEAGUE_YEAR,FREE_AGENCY,START_DATE,TRADE_DEADLINE,END_DATE
2025,279200000,23800000,9.32%,03/12/25,03/12/25,09/11/25,11/05/25,01/05/26
2024,255400000,30600000,13.61%,03/13/24,03/13/24,09/12/24,11/05/24,01/05/25
2023,224800000,16600000,7.97%,03/15/23,03/15/23,09/10/23,10/31/23,01/03/24
2022,208200000,25700000,14.08%,03/16/22,03/16/22,09/10/22,11/01/22,01/03/23
2021,182500000,15700000,7.92%,03/17/21,03/17/21,09/10/21,11/02/21,01/09/22
2020,198200000,10000000,5.31%,03/16/20,03/16/20,09/10/20,11/03/20,01/03/21
2019,188200000,11000000,6.21%,03/13/19,03/13/19,09/05/19,10/29/19,12/29/19
2018,177200000,10200000,6.11%,03/14/18,03/14/18,09/06/18,10/30/18,12/30/18
2017,167000000,11730000,7.55%,03/09/17,03/09/17,09/07/17,10/31/17,12/31/17
2016,155770000,11990000,8.37%,03/09/16,03/09/16,09/08/16,11/01/16,01/01/17
2015,143280000,10280000,7.73%,03/11/15,03/11/15,09/10/15,11/03/15,01/03/16
2014,133000000,9400000,7.61%,03/11/14,03/11/14,09/04/14,10/28/14,12/28/14
2013,123600000,3000000,2.49%,03/12/13,03/12/13,09/05/13,10/29/13,12/29/13
2012,120600000,225000,0.19%,03/13/12,03/13/12,09/05/12,11/01/12,12/30/12
2011,120375000,,,,07/29/11,07/29/11,09/08/11,10/18/11,01/01/12
2010,Uncapped,,,,,,,,,
2009,123000000,7000000,6.03%,,,,,,,
2008,116000000,7000000,6.42%,,,,,,,
2007,109000000,7000000,6.86%,,,,,,,
2006,102000000,16500000,19.30%,,,,,,,
2005,85500000,4918000,6.10%,,,,,,,
2004,80582000,5575000,7.43%,,,,,,,
2003,75007000,3906000,5.49%,,,,,,,
2002,71101000,3696000,5.48%,,,,,,,
2001,67405000,5233000,8.42%,,,,,,,
2000,62172000,4884000,8.53%,,,,,,,
1999,57288000,4900000,9.35%,,,,,,,
1998,52388000,10934000,26.38%,,,,,,,
1997,41454000,701000,1.72%,,,,,,,
1996,40753000,3653000,9.85%,,,,,,,
1995,37100000,2492000,7.20%,,,,,,,
1994,34608000,,,,,,,,,
